ID,Renta_secc,n,distance,feature_x,feature_y,nearest_x,nearest_y
"0105906","17191","1",251.763284567850803,525475.794867073185742,4744250.973424299620092,525253.825684068258852,4744132.169244017452002
01063_AM,"18511","1",3970.338040001694935,517286.514485625317320,4758306.981106968596578,513392.232509837136604,4759080.384006456471980
"01901","16835","1",1146.233052657380995,514787.107097965606954,4741542.446979781612754,514409.159582914493512,4742624.577233896590769
"0200301","12384","1",260.474427129309561,600033.566719066817313,4317947.205092768184841,600220.052909588441253,4318129.056207510642707
"0200302","13135","1",311.998692263689463,597236.366908499738201,4317751.675218766555190,597308.528824102599174,4318055.214082688093185
"0200303","9584","1",187.920506330621549,597725.925147412694059,4316850.726753398776054,597778.103959981352091,4317031.257881513796747
"0200304","11117","1",438.375522037641133,596832.619523412664421,4315465.615569726563990,596468.230341306538321,4315221.907501977868378
"0200305","10680","1",186.513997595552638,598109.293842683080584,4315628.672762570902705,598218.723801072104834,4315779.711020989343524
"0200306","16930","1",204.825860101953964,598769.045069948653691,4315432.357568083330989,598973.650497270864435,4315422.857458778657019
"0200307","15409","1",250.858370774841887,600534.460244113928638,4315269.839993895031512,600371.081782794906758,4315079.478756861761212
"0200308","11117","1",3076.075018090336471,596102.961754374788143,4312167.596388760954142,596468.230341306538321,4315221.907501977868378
02008_AM,"11810","1",5993.545523945424975,553817.198615813977085,4284187.005366984754801,558385.317557000904344,4280306.943861444480717
"02009","11576","1",23.748080300534578,665733.073924222495407,4300883.239254221320152,665739.312631291686557,4300860.325287911109626
02010_AM,"10617","1",3992.109372250618890,639948.318893069052137,4313146.011379137635231,636103.047814520541579,4314218.777696883305907
